t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,0,0,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0653816435015012,6.57543914052667,-6.0465906846501,0,0,1,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,0,0,0,0
0.007,-0.0928527115649385,7.69029161830917,-2.116552812963,0,0,0,-0.0928527115649383,-0.0928527115649383,7.69029161830916,7.69029161830916,-2.116552812963,-2.116552812963,0,0,0,0
0.008,-0.0844522519028352,7.08691144894889,1.94762945425998,0,0,0,-0.0844522519028352,-0.0844522519028352,7.08691144894887,7.08691144894887,1.94762945425998,1.94762945425998,0,0,0,0
0.009,-0.0508919033457881,5.03046839853405,5.27424359400983,0,0,1,-0.050891903345788,-0.050891903345788,5.03046839853407,5.03046839853407,5.27424359400983,5.27424359400983,0,0,0,0
0.01,-0.0204947554412076,2.07263090692707,7.21750829716808,0,0,1,-0.0204947554412076,-0.0204947554412076,2.07263090692706,2.07263090692706,7.21750829716808,7.21750829716808,0,0,0,0
0.011,-0.0147465863870047,-1.08790705752051,7.47631723876628,0,0,1,-0.0147465863870047,-0.0147465863870047,-1.08790705752051,-1.08790705752051,7.47631723876627,7.47631723876627,0,0,0,0
0.012,-0.0328493436395148,-3.76522170348199,6.13051529779144,0,0,1,-0.0328493436395148,-0.0328493436395148,-3.76522170348201,-3.76522170348201,6.13051529779143,6.13051529779143,0,0,0,0
0.013,-0.0557724308197778,-5.43069862308957,3.59353643835501,0,0,0,-0.0557724308197779,-0.0557724308197779,-5.43069862308956,-5.43069862308956,3.593536438355,3.593536438355,0,0,0,0
0.014,-0.0636957532396671,-5.81249513901205,0.498110789160297,0,0,1,-0.063695753239667,-0.063695753239667,-5.81249513901204,-5.81249513901204,0.498110789160298,0.498110789160298,0,0,0,0
0.015,-0.0513777331275148,-4.93242448826459,-2.45533590353917,0,0,0,-0.0513777331275149,-0.0513777331275149,-4.93242448826459,-4.93242448826459,-2.45533590353918,-2.45533590353918,0,0,0,0
0.016,-0.0299555351101543,-3.07776846676434,-4.65246398020201,0,0,1,-0.0299555351101543,-0.0299555351101543,-3.07776846676434,-3.07776846676434,-4.65246398020199,-4.65246398020199,0,0,0,0
0.017,-0.0158788134766194,-0.719304634167839,-5.68826745519813,0,0,1,-0.0158788134766194,-0.0158788134766194,-0.719304634167838,-0.719304634167838,-5.68826745519814,-5.68826745519814,0,0,0,0
0.018,-0.0174568519646949,1.60300254785731,-5.4361492442599,0,0,1,-0.0174568519646949,-0.0174568519646949,1.60300254785731,1.60300254785731,-5.43614924425989,-5.43614924425989,0,0,0,0
0.019,-0.0297260154164067,3.39999029566472,-4.05249986786942,0,0,0,-0.0297260154164066,-0.0297260154164066,3.39999029566472,3.39999029566472,-4.05249986786944,-4.05249986786944,0,0,0,0
0.02,-0.0403070882807963,4.33296177711853,-1.92093637348063,0,0,1,-0.0403070882807963,-0.0403070882807963,4.33296177711854,4.33296177711854,-1.92093637348062,-1.92093637348062,0,0,0,0
0.021,-0.0400626803313518,4.273388041035,0.447152254886982,0,0,1,-0.0400626803313517,-0.0400626803313517,4.27338804103502,4.27338804103502,0.447152254886982,0.447152254886982,0,0,0,0
0.022,-0.029625182378697,3.31325531454483,2.53116416054506,0,0,0,-0.029625182378697,-0.029625182378697,3.31325531454484,3.31325531454484,2.53116416054505,2.53116416054505,0,0,0,0
0.023,-0.0174123196307319,1.72794340516232,3.91230309315688,0,0,0,-0.0174123196307318,-0.0174123196307318,1.72794340516232,1.72794340516232,3.91230309315688,3.91230309315688,0,0,0,0
0.024,-0.0119627301850316,-0.0967172007326922,4.35415909018784,0,0,1,-0.0119627301850315,-0.0119627301850315,-0.0967172007326923,-0.0967172007326923,4.35415909018782,4.35415909018782,0,0,0,0
0.025,-0.015354376563824,-1.75499826333226,3.83821878388293,0,0,1,-0.0153543765638241,-0.0153543765638241,-1.75499826333226,-1.75499826333226,3.83821878388294,3.83821878388294,0,0,0,0
